"Step","offset 100 (3) - loss","offset 100 (3) - loss__MIN","offset 100 (3) - loss__MAX","offset 100 (2) - loss","offset 100 (2) - loss__MIN","offset 100 (2) - loss__MAX","offset 100 (1) - loss","offset 100 (1) - loss__MIN","offset 100 (1) - loss__MAX","offset 100 (5) - loss","offset 100 (5) - loss__MIN","offset 100 (5) - loss__MAX","offset 100 (4) - loss","offset 100 (4) - loss__MIN","offset 100 (4) - loss__MAX"
"0","6.2638092041015625","6.2638092041015625","6.2638092041015625","5.894218444824219","5.894218444824219","5.894218444824219","5.773520469665527","5.773520469665527","5.773520469665527","5.778140544891357","5.778140544891357","5.778140544891357","5.93878173828125","5.93878173828125","5.93878173828125"
"100","5.596457481384277","5.596457481384277","5.596457481384277","5.550909042358398","5.550909042358398","5.550909042358398","5.580067157745361","5.580067157745361","5.580067157745361","5.557399749755859","5.557399749755859","5.557399749755859","5.576253890991211","5.576253890991211","5.576253890991211"
"200","5.515962600708008","5.515962600708008","5.515962600708008","5.4839606285095215","5.4839606285095215","5.4839606285095215","5.614456653594971","5.614456653594971","5.614456653594971","5.46508264541626","5.46508264541626","5.46508264541626","5.459195137023926","5.459195137023926","5.459195137023926"
"300","5.6927032470703125","5.6927032470703125","5.6927032470703125","5.54881477355957","5.54881477355957","5.54881477355957","5.636232376098633","5.636232376098633","5.636232376098633","5.532647609710693","5.532647609710693","5.532647609710693","5.510566711425781","5.510566711425781","5.510566711425781"
"400","5.488833904266357","5.488833904266357","5.488833904266357","5.549434661865234","5.549434661865234","5.549434661865234","5.615804195404053","5.615804195404053","5.615804195404053","5.512486934661865","5.512486934661865","5.512486934661865","5.519259452819824","5.519259452819824","5.519259452819824"
"500","5.593217372894287","5.593217372894287","5.593217372894287","5.536222457885742","5.536222457885742","5.536222457885742","5.573694229125977","5.573694229125977","5.573694229125977","5.581002712249756","5.581002712249756","5.581002712249756","5.606174468994141","5.606174468994141","5.606174468994141"
"600","5.559278964996338","5.559278964996338","5.559278964996338","5.517195701599121","5.517195701599121","5.517195701599121","5.526107311248779","5.526107311248779","5.526107311248779","5.550128936767578","5.550128936767578","5.550128936767578","5.468170166015625","5.468170166015625","5.468170166015625"
"700","5.569943904876709","5.569943904876709","5.569943904876709","5.485012054443359","5.485012054443359","5.485012054443359","5.570019721984863","5.570019721984863","5.570019721984863","5.594113349914551","5.594113349914551","5.594113349914551","5.505605697631836","5.505605697631836","5.505605697631836"
"800","5.470505237579346","5.470505237579346","5.470505237579346","5.611113548278809","5.611113548278809","5.611113548278809","5.546754360198975","5.546754360198975","5.546754360198975","5.484627723693848","5.484627723693848","5.484627723693848","5.53486967086792","5.53486967086792","5.53486967086792"
"900","5.519245147705078","5.519245147705078","5.519245147705078","5.472066879272461","5.472066879272461","5.472066879272461","5.615188121795654","5.615188121795654","5.615188121795654","5.639490604400635","5.639490604400635","5.639490604400635","5.478271007537842","5.478271007537842","5.478271007537842"
"1000","5.616598129272461","5.616598129272461","5.616598129272461","5.595028877258301","5.595028877258301","5.595028877258301","5.525363445281982","5.525363445281982","5.525363445281982","5.501526355743408","5.501526355743408","5.501526355743408","5.49089241027832","5.49089241027832","5.49089241027832"
"1100","5.481571674346924","5.481571674346924","5.481571674346924","5.542860984802246","5.542860984802246","5.542860984802246","5.542109489440918","5.542109489440918","5.542109489440918","5.642032146453857","5.642032146453857","5.642032146453857","5.5342512130737305","5.5342512130737305","5.5342512130737305"
"1200","5.500959396362305","5.500959396362305","5.500959396362305","5.5522942543029785","5.5522942543029785","5.5522942543029785","5.572835922241211","5.572835922241211","5.572835922241211","5.4973297119140625","5.4973297119140625","5.4973297119140625","5.513962268829346","5.513962268829346","5.513962268829346"
"1300","5.588896751403809","5.588896751403809","5.588896751403809","5.486690521240234","5.486690521240234","5.486690521240234","5.428178787231445","5.428178787231445","5.428178787231445","5.568010330200195","5.568010330200195","5.568010330200195","5.458896160125732","5.458896160125732","5.458896160125732"
"1400","5.537447452545166","5.537447452545166","5.537447452545166","5.5506696701049805","5.5506696701049805","5.5506696701049805","5.5954413414001465","5.5954413414001465","5.5954413414001465","5.512448310852051","5.512448310852051","5.512448310852051","5.567356109619141","5.567356109619141","5.567356109619141"
"1500","5.554800033569336","5.554800033569336","5.554800033569336","5.555695056915283","5.555695056915283","5.555695056915283","5.485928535461426","5.485928535461426","5.485928535461426","5.544251441955566","5.544251441955566","5.544251441955566","5.561132431030273","5.561132431030273","5.561132431030273"
"1600","5.508697986602783","5.508697986602783","5.508697986602783","5.549071311950684","5.549071311950684","5.549071311950684","5.536599636077881","5.536599636077881","5.536599636077881","5.549766540527344","5.549766540527344","5.549766540527344","5.517208099365234","5.517208099365234","5.517208099365234"
"1700","5.571808338165283","5.571808338165283","5.571808338165283","5.549363136291504","5.549363136291504","5.549363136291504","5.624935150146484","5.624935150146484","5.624935150146484","5.537209987640381","5.537209987640381","5.537209987640381","5.548383712768555","5.548383712768555","5.548383712768555"
"1800","5.612315654754639","5.612315654754639","5.612315654754639","5.546298027038574","5.546298027038574","5.546298027038574","5.523135185241699","5.523135185241699","5.523135185241699","5.5490570068359375","5.5490570068359375","5.5490570068359375","5.514657497406006","5.514657497406006","5.514657497406006"
"1900","5.4868903160095215","5.4868903160095215","5.4868903160095215","5.623225212097168","5.623225212097168","5.623225212097168","5.5858330726623535","5.5858330726623535","5.5858330726623535","5.539002418518066","5.539002418518066","5.539002418518066","5.478917121887207","5.478917121887207","5.478917121887207"
