"Step","offset 100 (3) - mu_0","offset 100 (3) - mu_0__MIN","offset 100 (3) - mu_0__MAX","offset 100 (2) - mu_0","offset 100 (2) - mu_0__MIN","offset 100 (2) - mu_0__MAX","offset 100 (1) - mu_0","offset 100 (1) - mu_0__MIN","offset 100 (1) - mu_0__MAX","offset 100 (5) - mu_0","offset 100 (5) - mu_0__MIN","offset 100 (5) - mu_0__MAX","offset 100 (4) - mu_0","offset 100 (4) - mu_0__MIN","offset 100 (4) - mu_0__MAX"
"0","67.5810775756836","67.5810775756836","67.5810775756836","92.15001678466797","92.15001678466797","92.15001678466797","170.52462768554688","170.52462768554688","170.52462768554688","34.49820327758789","34.49820327758789","34.49820327758789","180.84942626953125","180.84942626953125","180.84942626953125"
"100","66.93380737304688","66.93380737304688","66.93380737304688","92.52334594726562","92.52334594726562","92.52334594726562","170.62425231933594","170.62425231933594","170.62425231933594","34.70831298828125","34.70831298828125","34.70831298828125","180.63345336914062","180.63345336914062","180.63345336914062"
"200","66.8788833618164","66.8788833618164","66.8788833618164","91.94622802734375","91.94622802734375","91.94622802734375","170.99273681640625","170.99273681640625","170.99273681640625","34.45316696166992","34.45316696166992","34.45316696166992","181.4713134765625","181.4713134765625","181.4713134765625"
"300","67.0410385131836","67.0410385131836","67.0410385131836","91.3607177734375","91.3607177734375","91.3607177734375","170.77259826660156","170.77259826660156","170.77259826660156","34.399723052978516","34.399723052978516","34.399723052978516","181.87095642089844","181.87095642089844","181.87095642089844"
"400","67.38011169433594","67.38011169433594","67.38011169433594","91.53545379638672","91.53545379638672","91.53545379638672","170.52198791503906","170.52198791503906","170.52198791503906","35.11256408691406","35.11256408691406","35.11256408691406","181.6945037841797","181.6945037841797","181.6945037841797"
"500","66.9988784790039","66.9988784790039","66.9988784790039","91.36762237548828","91.36762237548828","91.36762237548828","171.0286865234375","171.0286865234375","171.0286865234375","35.0969123840332","35.0969123840332","35.0969123840332","181.01473999023438","181.01473999023438","181.01473999023438"
"600","66.72926330566406","66.72926330566406","66.72926330566406","90.26456451416016","90.26456451416016","90.26456451416016","171.03631591796875","171.03631591796875","171.03631591796875","35.30413818359375","35.30413818359375","35.30413818359375","181.23309326171875","181.23309326171875","181.23309326171875"
"700","67.362548828125","67.362548828125","67.362548828125","90.51689147949219","90.51689147949219","90.51689147949219","170.3250274658203","170.3250274658203","170.3250274658203","35.53485870361328","35.53485870361328","35.53485870361328","181.67779541015625","181.67779541015625","181.67779541015625"
"800","67.68094635009766","67.68094635009766","67.68094635009766","91.7674560546875","91.7674560546875","91.7674560546875","171.2118377685547","171.2118377685547","171.2118377685547","35.19408416748047","35.19408416748047","35.19408416748047","181.96478271484375","181.96478271484375","181.96478271484375"
"900","67.86544036865234","67.86544036865234","67.86544036865234","91.21290588378906","91.21290588378906","91.21290588378906","172.12063598632812","172.12063598632812","172.12063598632812","34.54730987548828","34.54730987548828","34.54730987548828","181.96536254882812","181.96536254882812","181.96536254882812"
"1000","68.033447265625","68.033447265625","68.033447265625","90.79035949707031","90.79035949707031","90.79035949707031","172.32943725585938","172.32943725585938","172.32943725585938","34.53446960449219","34.53446960449219","34.53446960449219","181.86398315429688","181.86398315429688","181.86398315429688"
"1100","68.45137786865234","68.45137786865234","68.45137786865234","91.08760070800781","91.08760070800781","91.08760070800781","172.47866821289062","172.47866821289062","172.47866821289062","34.98456573486328","34.98456573486328","34.98456573486328","181.67379760742188","181.67379760742188","181.67379760742188"
"1200","69.249755859375","69.249755859375","69.249755859375","91.1858901977539","91.1858901977539","91.1858901977539","172.60240173339844","172.60240173339844","172.60240173339844","35.285343170166016","35.285343170166016","35.285343170166016","181.60906982421875","181.60906982421875","181.60906982421875"
"1300","69.12513732910156","69.12513732910156","69.12513732910156","90.38115692138672","90.38115692138672","90.38115692138672","173.35113525390625","173.35113525390625","173.35113525390625","35.086814880371094","35.086814880371094","35.086814880371094","181.08323669433594","181.08323669433594","181.08323669433594"
"1400","69.04336547851562","69.04336547851562","69.04336547851562","90.47726440429688","90.47726440429688","90.47726440429688","174.35716247558594","174.35716247558594","174.35716247558594","35.70516586303711","35.70516586303711","35.70516586303711","180.47845458984375","180.47845458984375","180.47845458984375"
"1500","69.17814636230469","69.17814636230469","69.17814636230469","90.8906021118164","90.8906021118164","90.8906021118164","173.4266357421875","173.4266357421875","173.4266357421875","36.093177795410156","36.093177795410156","36.093177795410156","180.49583435058594","180.49583435058594","180.49583435058594"
"1600","70.43017578125","70.43017578125","70.43017578125","91.52037811279297","91.52037811279297","91.52037811279297","174.06858825683594","174.06858825683594","174.06858825683594","37.49885177612305","37.49885177612305","37.49885177612305","179.74734497070312","179.74734497070312","179.74734497070312"
"1700","71.34275817871094","71.34275817871094","71.34275817871094","92.21853637695312","92.21853637695312","92.21853637695312","174.9399871826172","174.9399871826172","174.9399871826172","37.58686065673828","37.58686065673828","37.58686065673828","179.81512451171875","179.81512451171875","179.81512451171875"
"1800","71.385986328125","71.385986328125","71.385986328125","92.57994079589844","92.57994079589844","92.57994079589844","175.12847900390625","175.12847900390625","175.12847900390625","37.31046676635742","37.31046676635742","37.31046676635742","179.90625","179.90625","179.90625"
"1900","72.56829071044922","72.56829071044922","72.56829071044922","92.20159912109375","92.20159912109375","92.20159912109375","175.3314208984375","175.3314208984375","175.3314208984375","37.50321578979492","37.50321578979492","37.50321578979492","179.6591033935547","179.6591033935547","179.6591033935547"
"2000","72.77637481689453","72.77637481689453","72.77637481689453","91.31755828857422","91.31755828857422","91.31755828857422","175.8967742919922","175.8967742919922","175.8967742919922","37.7331428527832","37.7331428527832","37.7331428527832","179.1996612548828","179.1996612548828","179.1996612548828"
"2100","73.07530212402344","73.07530212402344","73.07530212402344","91.3580322265625","91.3580322265625","91.3580322265625","175.2646026611328","175.2646026611328","175.2646026611328","37.913848876953125","37.913848876953125","37.913848876953125","179.44615173339844","179.44615173339844","179.44615173339844"
