"Step","offset 200 (3) modulo - loss","offset 200 (3) modulo - loss__MIN","offset 200 (3) modulo - loss__MAX","offset 200 (2) modulo - loss","offset 200 (2) modulo - loss__MIN","offset 200 (2) modulo - loss__MAX","offset 200 (1) modulo - loss","offset 200 (1) modulo - loss__MIN","offset 200 (1) modulo - loss__MAX"
"0","5.908447265625","5.908447265625","5.908447265625","5.651961803436279","5.651961803436279","5.651961803436279","5.910488605499268","5.910488605499268","5.910488605499268"
"100","5.560606956481934","5.560606956481934","5.560606956481934","5.675003528594971","5.675003528594971","5.675003528594971","5.710211753845215","5.710211753845215","5.710211753845215"
"200","5.5590033531188965","5.5590033531188965","5.5590033531188965","5.6168599128723145","5.6168599128723145","5.6168599128723145","5.339356422424316","5.339356422424316","5.339356422424316"
"300","5.618307113647461","5.618307113647461","5.618307113647461","5.591872215270996","5.591872215270996","5.591872215270996","5.57841157913208","5.57841157913208","5.57841157913208"
"400","5.576737403869629","5.576737403869629","5.576737403869629","5.471189975738525","5.471189975738525","5.471189975738525","5.49643087387085","5.49643087387085","5.49643087387085"
"500","5.647026538848877","5.647026538848877","5.647026538848877","5.632583141326904","5.632583141326904","5.632583141326904","5.573835372924805","5.573835372924805","5.573835372924805"
"600","5.545175552368164","5.545175552368164","5.545175552368164","5.56721305847168","5.56721305847168","5.56721305847168","5.584113121032715","5.584113121032715","5.584113121032715"
"700","5.4638566970825195","5.4638566970825195","5.4638566970825195","5.516792297363281","5.516792297363281","5.516792297363281","5.498661041259766","5.498661041259766","5.498661041259766"
"800","5.602055072784424","5.602055072784424","5.602055072784424","5.6002912521362305","5.6002912521362305","5.6002912521362305","5.5517258644104","5.5517258644104","5.5517258644104"
"900","5.527597427368164","5.527597427368164","5.527597427368164","5.643424987792969","5.643424987792969","5.643424987792969","5.551193714141846","5.551193714141846","5.551193714141846"
"1000","5.594962120056152","5.594962120056152","5.594962120056152","5.433261871337891","5.433261871337891","5.433261871337891","5.559134006500244","5.559134006500244","5.559134006500244"
"1100","5.584763526916504","5.584763526916504","5.584763526916504","5.515349388122559","5.515349388122559","5.515349388122559","5.519815921783447","5.519815921783447","5.519815921783447"
"1200","5.629148960113525","5.629148960113525","5.629148960113525","5.511420726776123","5.511420726776123","5.511420726776123","5.610250473022461","5.610250473022461","5.610250473022461"
"1300","5.545760154724121","5.545760154724121","5.545760154724121","5.542135715484619","5.542135715484619","5.542135715484619","5.511838436126709","5.511838436126709","5.511838436126709"
"1400","5.53216552734375","5.53216552734375","5.53216552734375","5.516324520111084","5.516324520111084","5.516324520111084","5.506013870239258","5.506013870239258","5.506013870239258"
"1500","5.581564903259277","5.581564903259277","5.581564903259277","5.532627582550049","5.532627582550049","5.532627582550049","5.479976654052734","5.479976654052734","5.479976654052734"
"1600","5.581937789916992","5.581937789916992","5.581937789916992","5.541003704071045","5.541003704071045","5.541003704071045","5.439676761627197","5.439676761627197","5.439676761627197"
"1700","5.646325588226318","5.646325588226318","5.646325588226318","5.5239949226379395","5.5239949226379395","5.5239949226379395","5.490286350250244","5.490286350250244","5.490286350250244"
"1800","5.476485252380371","5.476485252380371","5.476485252380371","5.520559787750244","5.520559787750244","5.520559787750244","5.609491348266602","5.609491348266602","5.609491348266602"
"1900","5.598759174346924","5.598759174346924","5.598759174346924","5.548418998718262","5.548418998718262","5.548418998718262","5.5497026443481445","5.5497026443481445","5.5497026443481445"
"2000","5.514146327972412","5.514146327972412","5.514146327972412","5.520913124084473","5.520913124084473","5.520913124084473","5.4573516845703125","5.4573516845703125","5.4573516845703125"
"2100","5.569970607757568","5.569970607757568","5.569970607757568","5.557234287261963","5.557234287261963","5.557234287261963","5.50972318649292","5.50972318649292","5.50972318649292"
"2200","5.584878444671631","5.584878444671631","5.584878444671631","5.550439834594727","5.550439834594727","5.550439834594727","5.6107048988342285","5.6107048988342285","5.6107048988342285"
"2300","5.469534397125244","5.469534397125244","5.469534397125244","5.587927341461182","5.587927341461182","5.587927341461182","5.524302005767822","5.524302005767822","5.524302005767822"
"2400","5.56181526184082","5.56181526184082","5.56181526184082","5.4838128089904785","5.4838128089904785","5.4838128089904785","5.524792194366455","5.524792194366455","5.524792194366455"
"2500","5.548194885253906","5.548194885253906","5.548194885253906","5.518469333648682","5.518469333648682","5.518469333648682","5.549263000488281","5.549263000488281","5.549263000488281"
"2600","5.489971160888672","5.489971160888672","5.489971160888672","5.524741172790527","5.524741172790527","5.524741172790527","5.55881929397583","5.55881929397583","5.55881929397583"
"2700","5.5860915184021","5.5860915184021","5.5860915184021","5.536839962005615","5.536839962005615","5.536839962005615","5.4932098388671875","5.4932098388671875","5.4932098388671875"
"2800","5.5069427490234375","5.5069427490234375","5.5069427490234375","5.625537872314453","5.625537872314453","5.625537872314453","4.565230369567871","4.565230369567871","4.565230369567871"
"2900","5.5647149085998535","5.5647149085998535","5.5647149085998535","5.567896842956543","5.567896842956543","5.567896842956543","1.0358495712280273","1.0358495712280273","1.0358495712280273"
"3000","5.552574157714844","5.552574157714844","5.552574157714844","5.473293304443359","5.473293304443359","5.473293304443359","0.2998303472995758","0.2998303472995758","0.2998303472995758"
"3100","5.544270038604736","5.544270038604736","5.544270038604736","4.08868932723999","4.08868932723999","4.08868932723999","0.009175228886306286","0.009175228886306286","0.009175228886306286"
"3200","5.475404739379883","5.475404739379883","5.475404739379883","1.0929083824157715","1.0929083824157715","1.0929083824157715","0.0014657436404377222","0.0014657436404377222","0.0014657436404377222"
"3300","5.499174118041992","5.499174118041992","5.499174118041992","11.176658630371094","11.176658630371094","11.176658630371094","0.000947719207033515","0.000947719207033515","0.000947719207033515"
"3400","5.558370113372803","5.558370113372803","5.558370113372803","0.8035300374031067","0.8035300374031067","0.8035300374031067","0.0007958404021337628","0.0007958404021337628","0.0007958404021337628"
"3500","5.5864996910095215","5.5864996910095215","5.5864996910095215","0.005131945479661226","0.005131945479661226","0.005131945479661226","0.0005806234548799694","0.0005806234548799694","0.0005806234548799694"
"3600","5.514243125915527","5.514243125915527","5.514243125915527","0.0013114205794408917","0.0013114205794408917","0.0013114205794408917","0.07555461674928665","0.07555461674928665","0.07555461674928665"
"3700","5.569775104522705","5.569775104522705","5.569775104522705","0.0009479509899392724","0.0009479509899392724","0.0009479509899392724","0.005496603436768055","0.005496603436768055","0.005496603436768055"
